Date,User,Message
2020-07-13 18:43:42,"유깡","유깡님이 들어왔습니다.
운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다."
2020-07-13 18:44:09,"영앤리코","영앤리코님이 들어왔습니다."
2020-07-13 18:46:20,"로고디자인_드라포유","안녕하세요! 소통하는 로고디자인 드라포유 입니다.
 
오래된 연장통에 따르면, 당신이 빨리 죽었을 운명인지 알 수 있어요!
 
https://blog.naver.com/de_la_for_u/222029808997"
2020-07-13 18:46:40,"그즈리","그즈리님이 들어왔습니다."
2020-07-13 18:46:51,"panger","panger님이 들어왔습니다."
2020-07-13 18:47:00,"겸손한 상어","겸손한 상어님이 나갔습니다."
2020-07-13 18:48:45,"눙눙","눙눙님이 들어왔습니다."
2020-07-13 18:51:10,"럭스고고","럭스고고님이 들어왔습니다."
2020-07-13 18:53:01,"지아이","저도 블로그 게시글 투척합니다! 지금보니 쓴지 벌써 시간이 꽤 지났네요. 다들 독서는 잘 하고 계신가요?ㅎㅎ"
2020-07-13 18:53:05,"지아이","https://m.blog.naver.com/rkdsoddlv/221867413100"
2020-07-13 18:53:35,"지아이","삭제된 메시지입니다."
2020-07-13 18:53:35,"501/민상현/혀니TV","30대 사업가 모임 ‘MARKETFUL’
https://open.kakao.com/o/gZn0Lglc
참여코드2548입미다 코드걸어놓음"
2020-07-13 18:53:40,"김성욱","김성욱님이 들어왔습니다."
2020-07-13 18:53:53,"김성욱","안녕하세요!"
2020-07-13 18:54:01,"문성완","안녕하세요"
2020-07-13 18:55:02,"sof","sof님이 들어왔습니다."
2020-07-13 18:55:30,"자피치","자피치님이 들어왔습니다."
2020-07-13 18:55:40,"후캔두댓 김아빠","와우 에이트"
2020-07-13 18:56:59,"난다요","난다요님이 들어왔습니다."
2020-07-13 18:57:58,"디노라디","40대도 가능할까요?"
2020-07-13 18:58:02,"디노라디","^^"
2020-07-13 18:58:38,"U_일상최적화연구소","U_일상최적화연구소님이 들어왔습니다."
2020-07-13 18:59:14,"Summer","Summer님이 들어왔습니다."
2020-07-13 19:00:28,"드림캐쳐","드림캐쳐님이 들어왔습니다."
2020-07-13 19:02:03,"성홍석","성홍석님이 들어왔습니다."
2020-07-13 19:04:19,"레알보헤미안","드라포유님 안녕하세요 로고 문의드리고싶은데 어디로 연락드리면 될까요?"
2020-07-13 19:05:22,"써니/218","써니/218님이 들어왔습니다."
2020-07-13 19:06:25,"152/Hailey","^^ 이 방에 계시는 인나(소은)님께 사심상담을 받아서 후기를 작성해보았습니다. 
 
상담 받을지 말지 고민중이신 분들 있다면 참고하세요^^"
2020-07-13 19:06:27,"152/Hailey","https://m.blog.naver.com/kimhass90/222029541863"
2020-07-13 19:08:40,"524/지온","524/지온님이 들어왔습니다."
2020-07-13 19:11:01,"deppp","deppp님이 들어왔습니다."
2020-07-13 19:11:56,"mua","mua님이 들어왔습니다."
2020-07-13 19:12:00,"호아","호아님이 들어왔습니다."
2020-07-13 19:13:11,"윤영쌤","윤영쌤님이 들어왔습니다."
2020-07-13 19:14:10,"24자린이","24자린이님이 들어왔습니다."
2020-07-13 19:15:08,"로고디자인_드라포유","안녕하세요^^ 현재 카톡 채널 개설이 아직 안되어, 블로그 아무 게시글에 비밀댓글 하나만 달아주시겠어요? 연락처 알려드릴게요 :) 감사합니다!

https://m.blog.naver.com/de_la_for_u"
2020-07-13 19:16:43,"EZK","EZK님이 들어왔습니다."
2020-07-13 19:16:51,"1077박충현","1077박충현님이 들어왔습니다."
2020-07-13 19:17:16,"나도자청(찑)","나도자청(찑)님이 들어왔습니다."
2020-07-13 19:17:20,"로고디자인_드라포유","혹은 인스타 아이디 있으시다면, delaforu_logo 로 디엠 주셔도 좋습니다!"
2020-07-13 19:17:21,"글로리치","글로리치님이 들어왔습니다."
2020-07-13 19:17:52,"나도자청(찑)","이삿짐센터 장사잘될듯"
2020-07-13 19:18:00,"나도자청(찑)","두번옮기네용"
2020-07-13 19:18:15,"leverage2","leverage2님이 들어왔습니다."
2020-07-13 19:18:35,"⚡","⚡님이 들어왔습니다."
2020-07-13 19:18:39,"건영(북라이프리서치)","건영(북라이프리서치)님이 들어왔습니다."
2020-07-13 19:19:06,"시자","시자님이 들어왔습니다."
2020-07-13 19:21:51,"phillip","phillip님이 들어왔습니다."
2020-07-13 19:22:24,"945/세이엠","945/세이엠님이 들어왔습니다."
2020-07-13 19:23:50,"Aa","Aa님이 들어왔습니다."
2020-07-13 19:28:31,"가나다","가나다님이 들어왔습니다."
2020-07-13 19:29:58,"647/coolkkwon","647/coolkkwon님이 들어왔습니다."
2020-07-13 19:30:19,".",".님이 들어왔습니다."
2020-07-13 19:31:07,"클라스","클라스님이 들어왔습니다."
2020-07-13 19:32:34,"성은","으엥 자청님이신가여!?"
2020-07-13 19:33:01,"연두","연두님이 들어왔습니다."
2020-07-13 19:33:07,"연두","안녕하세요"
2020-07-13 19:33:13,"연두","반갑습니당"
2020-07-13 19:33:34,"안녕하세요","안녕하세요님이 들어왔습니다."
2020-07-13 19:33:42,"현지","이모티콘"
2020-07-13 19:33:51,"영가미","(찐)은 오해의 소지가 있을 수 있으니 닉네임 수정 부탁드릴게요 :)"
2020-07-13 19:33:56,"안녕하세요","안녕하세요~~"
2020-07-13 19:34:12,"현지","ㅋㅋㅋㅋㅋ><"
2020-07-13 19:34:45,"성은","영감님이 방장님이셨군여!!!"
2020-07-13 19:35:24,"영가미","방장님은 찐자청님 ㅎㅎ 저는 그냥 운영돕고 있어요"
2020-07-13 19:37:19,"명상가","명상가님이 들어왔습니다."
2020-07-13 19:38:09,"286 / New Rich","DB 작성은 주기적으로 고도화 해나갈 예정입니다!"
2020-07-13 19:38:50,"286 / New Rich","핸드폰 적으신분이 계시던데 개인정보 적으실 때는 한번더 고려해보시고 기재 부탁드립니다!"
2020-07-13 19:39:01,"498 / 마인드 컨트롤러","498 / 마인드 컨트롤러님이 들어왔습니다."
2020-07-13 19:39:02,"모험가","담당해주신 new rich님 감사합니다"
2020-07-13 19:39:07,"523 / 𝚓𝚜","523 / 𝚓𝚜님이 들어왔습니다."
2020-07-13 19:40:28,"286 / New Rich","그리고 2주 이내에 이전 단톡방에서 있었던 정보나  데이터들 최대한 추출 및 분류해서 별도 공유 문서로 업로드할 생각입니다.
 
신규로 들어오신분들도 도움 받으실 수 있을거라 기대합니다."
2020-07-13 19:40:42,"강","강님이 들어왔습니다."
2020-07-13 19:41:28,"Sk의료서비스/울산","Sk의료서비스/울산님이 들어왔습니다."
2020-07-13 19:41:46,"285.경자청년사업가","285.경자청년사업가님이 들어왔습니다."
2020-07-13 19:42:05,"근영","근영님이 들어왔습니다."
2020-07-13 19:42:28,"윤준기","윤준기님이 들어왔습니다."
2020-07-13 19:42:31,"880/헤다","880/헤다님이 들어왔습니다."
2020-07-13 19:43:49,"현지","이모티콘"
2020-07-13 19:44:15,"718 / Oat 오트","718 / Oat 오트님이 들어왔습니다."
